status,private pool,propertyType,street,baths,homeFacts,fireplace,city,schools,sqft,zipcode,beds,state,stories,mls-id,PrivatePool,MlsId,target
for sale,,coop,14205 Roosevelt Ave #512,2 Baths,"{'atAGlanceFacts': [{'factValue': '1965', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '1.73 acres', 'factLabel': 'lotsize'}, {'factValue': '$515/sqft', 'factLabel': 'Price/sqft'}]}",,Flushing,"[{'rating': ['2/10', '8/10', '10/10'], 'data': {'Distance': ['0.3mi', '1.88mi', '2.37mi'], 'Grades': ['9-12', '6-8', 'PK-5']}, 'name': ['Flushing High School', 'Jhs 194 William Carr', 'Ps 193 Alfred J Kennedy']}]","1,300 sqft",11354,3 Beds,NY,,,,3087630,"$669,000"
Active,,English,4222 False Cypress Ln ,,"{'atAGlanceFacts': [{'factValue': '2015', 'factLabel': 'Year built'}, {'factValue': '2015', 'factLabel': 'Remodeled year'}, {'factValue': 'Central Electric', 'factLabel': 'Heating'}, {'factValue': 'Central Gas', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '5,715 Sq. Ft.', 'factLabel': 'lotsize'}, {'factValue': '$83 / Sq. Ft.', 'factLabel': 'Price/sqft'}]}",,Houston,"[{'rating': ['6', '3', '6', '1', '5'], 'data': {'Distance': ['0.4 mi', '0.4 mi', '3.0 mi', '3.2 mi', '7.4 mi'], 'Grades': ['Preschool to 5', '6 to 8', '6 to 8', '9 to 12', '9 to 12']}, 'name': ['Pat Reynolds Elementary School', 'Edwin M Wells Middle School', 'Edward Roberson Middle School', 'Westfield High School', 'Carl Wunsche Senior High School']}]","3,130",77068,,TX,2,,,5741322,"260,000"
for sale,,single-family home,16373 NW 16th St,3 Baths,"{'atAGlanceFacts': [{'factValue': '1996', 'factLabel': 'Year built'}, {'factValue': '1997', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Carport, Attached Garage', 'factLabel': 'Parking'}, {'factValue': '10,270 sqft', 'factLabel': 'lotsize'}, {'factValue': '$185/sqft', 'factLabel': 'Price/sqft'}]}",,Pembroke Pines,"[{'rating': ['8/10', '7/10', '7/10'], 'data': {'Distance': ['2.66mi', '0.92mi', '2.54mi'], 'Grades': ['6-8', 'PK-5', '9-12']}, 'name': ['Walter C. Young Middle School', 'Silver Palms Elementary School', 'Charles W Flanagan High School']}]","2,839 sqft",33028,4 Beds,FL,1.0,,yes,A10767242,"$525,000"
New construction,,Single Family,1538 Umpqua Dr,Bathrooms: 2,"{'atAGlanceFacts': [{'factValue': '2019', 'factLabel': 'Year built'}, {'factValue': '2019', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced air', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '7,000 sqft lot', 'factLabel': 'lotsize'}, {'factValue': '$275', 'factLabel': 'Price/sqft'}]}",,Eugene,"[{'rating': ['7/10', '7/10', '8/10'], 'data': {'Distance': ['1.2 mi', '1.1 mi', '1 mi'], 'Grades': ['K-5', '6-8', '9-12']}, 'name': ['Willagillespie Elementary School', 'Monroe Middle School', 'Sheldon High School']}]","Total interior livable area: 1,820 sqft",97401,3 bd,OR,1.0,19221142,,,"$499,900"
,,Single Family,15351 Falmouth Ave,3,"{'atAGlanceFacts': [{'factValue': '1982', 'factLabel': 'Year built'}, {'factValue': '1982', 'factLabel': 'Remodeled year'}, {'factValue': 'Other', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '2 spaces', 'factLabel': 'Parking'}, {'factValue': '2,130 sqft', 'factLabel': 'lotsize'}, {'factValue': '$69', 'factLabel': 'Price/sqft'}]}",,Houston,"[{'rating': ['4/10', '5/10', '7/10'], 'data': {'Distance': ['0.7 mi', '0.6 mi', '2.9 mi'], 'Grades': ['PK-5', '6-8', '9-12']}, 'name': ['Horne Elementary School', 'Truitt Middle School', 'Cypress Falls High School']}]","2,454",77084,4,TX,2.0,,,65299510,"$168,800"
New,,2 Story,930 52nd St ,,"{'atAGlanceFacts': [{'factValue': '1905', 'factLabel': 'Year built'}, {'factValue': '1905', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': 'Steam Heating', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '2,003 Sq. Ft.', 'factLabel': 'lotsize'}, {'factValue': None, 'factLabel': 'Price/sqft'}]}",,Brooklyn,"[{'rating': ['8', '8', '3'], 'data': {'Distance': ['0.2 mi', '0.2 mi', '1.5 mi'], 'Grades': ['K to 5', '6 to 8', '9 to 12']}, 'name': ['PS 160 William T Sampson', 'Junior High School 220 John J Pershing', 'Franklin Delano Roosevelt High School']}]",,11219,,NY,,,,3182740,"1,650,000"
Active,,,2402 NW 22nd Rd ,"1,750","{'atAGlanceFacts': [{'factValue': '2008', 'factLabel': 'Year built'}, {'factValue': '2009', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '5,304 Sq. Ft.', 'factLabel': 'lotsize'}, {'factValue': '$152 / Sq. Ft.', 'factLabel': 'Price/sqft'}]}",,Fort Lauderdale,"[{'rating': ['4', 'NR', '3', 'NR'], 'data': {'Distance': ['0.5 mi', '0.7 mi', '0.5 mi', '1.1 mi'], 'Grades': ['Preschool to 5', 'Preschool to 8', '6 to 12', 'K to 12']}, 'name': ['Dillard Elementary School', 'Mount Olivet Seventh-Day Adventist School', 'Dillard High School', 'Hospital Homebound Services']}]","2,203",33311,Baths,FL,,,,F10207914,"335,000"
Active,,Townhouse,24 W 126th St ,,"{'atAGlanceFacts': [{'factValue': '1899', 'factLabel': 'Year built'}, {'factValue': '2007', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '1,782 Sq. Ft.', 'factLabel': 'lotsize'}, {'factValue': '$797 / Sq. Ft.', 'factLabel': 'Price/sqft'}]}",,New York,"[{'rating': ['2', '5', '1', '2'], 'data': {'Distance': ['0.3 mi', '0.1 mi', '0.7 mi', '0.9 mi'], 'Grades': ['Preschool to 5', 'K to 12', '6 to 8', '6 to 8']}, 'name': ['PS 133 Fred R Moore', 'Harlem Village Academy West Charter', 'Knowledge And Power Prep Academy IV', 'IS 286 Renaissance Military Leadership Academy']}]","3,325",10027,,NY,,,,4975368,"2,650,000"
for sale,,single-family home,22702 Alderdale Ln,4 Baths,"{'atAGlanceFacts': [{'factValue': '2016', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Other', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '10,424 sqft', 'factLabel': 'lotsize'}, {'factValue': '$119/sqft', 'factLabel': 'Price/sqft'}]}",yes,Tomball,"[{'rating': ['7/10', '7/10'], 'data': {'Distance': ['2.09mi', '1.78mi'], 'Grades': ['6-8', 'PK-5']}, 'name': ['Krimmel Intermed', 'Schultz Elementary School']}]","3,080 sqft",77375,4 Beds,TX,2.0,,,95301365,"$365,000"
for sale,,multi-family,1633 NE 15th St,4 Baths,"{'atAGlanceFacts': [{'factValue': '1954', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '8,110 sqft', 'factLabel': 'lotsize'}, {'factValue': '$388/sqft', 'factLabel': 'Price/sqft'}]}",,Fort Lauderdale,"[{'rating': ['3/10', '7/10', '5/10'], 'data': {'Distance': ['0.19mi', '0.83mi', '0.27mi'], 'Grades': ['PK-5', '9-12', '6-8']}, 'name': ['Bennett Elementary School', 'Fort Lauderdale High School', 'Sunrise Middle School']}]","1,612 sqft",33304,4 Beds,FL,1.0,,yes,A10622323,"$626,000"
For sale,,Single Family,5930 E Avenue T2,2 ba,"{'atAGlanceFacts': [{'factValue': '1989', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced air', 'factLabel': 'Heating'}, {'factValue': 'Central, Evaporative', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '1.18 acres', 'factLabel': 'lotsize'}, {'factValue': '$217', 'factLabel': 'Price/sqft'}]}",,Palmdale,"[{'rating': ['3/10', '5/10'], 'data': {'Distance': ['2.9 mi', '1.7 mi'], 'Grades': ['K-8', '9-12']}, 'name': ['Alpine Elementary School', 'William J. (Pete) Knight High School']}]","1,731 sqft",93552,4 bd,CA,,SR19195113,,,"$375,000"
For sale,,Single Family,61425 Gosney Rd,Bathrooms: 5,"{'atAGlanceFacts': [{'factValue': '2008', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced air, Heat pump', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '4 spaces', 'factLabel': 'Parking'}, {'factValue': '15.32 acres lot', 'factLabel': 'lotsize'}, {'factValue': '$665', 'factLabel': 'Price/sqft'}]}",Yes,Bend,"[{'rating': ['8/10', '5/10', '6/10'], 'data': {'Distance': ['3.7 mi', '4.1 mi', '6.2 mi'], 'Grades': ['K-5', '6-8', '9-12']}, 'name': ['Buckingham Elementary School', 'High Desert Middle School', 'Bend Senior High School']}]","Total interior livable area: 5,266 sqft",97702,5 bd,OR,1.0,201909438,,,"$3,500,000"
Active,,"Penthouse, Split-Level",120 Jefferson Ave #12019 ,"1,000","{'atAGlanceFacts': [{'factValue': '1996', 'factLabel': 'Year built'}, {'factValue': '1996', 'factLabel': 'Remodeled year'}, {'factValue': 'Central Air', 'factLabel': 'Heating'}, {'factValue': 'Has Cooling', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '—', 'factLabel': 'lotsize'}, {'factValue': '$536 / Sq. Ft.', 'factLabel': 'Price/sqft'}]}",,Miami Beach,"[{'rating': ['7', '10', 'NR', '4', '4'], 'data': {'Distance': ['0.2 mi', '24.0 mi', '19.7 mi', '3.1 mi', '2.0 mi'], 'Grades': ['Preschool to 5', 'Preschool to 8', 'K to 9', '6 to 8', '9 to 12']}, 'name': ['South Pointe Elementary School', 'Air Base Elementary School', 'Robert Morgan Voc-Tech Institute', 'Nautilus Middle School', 'Miami Beach Senior High School']}]","1,080",33139,Baths,FL,Multi/Split,,,A10786027,"579,000"
for sale,,single-family home,4234 Orchard Pass Dr,4 Baths,"{'atAGlanceFacts': [{'factValue': '2019', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Electric', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '7962 sqft', 'factLabel': 'lotsize'}, {'factValue': '$137/sqft', 'factLabel': 'Price/sqft'}]}",yes,Spring,"[{'rating': ['9/10', '8/10', '8/10'], 'data': {'Distance': ['1.47mi', '6.77mi', '1.4mi'], 'Grades': ['5-6', '9-12', '7-8']}, 'name': ['Cox Intermediate School', 'Oak Ridge High School', 'York J High School']}]","3,645 sqft",77386,4 Beds,TX,2.0,,,13624110,"$499,007"
for sale,,single-family home,703 W Gemini Ln,2 Baths,"{'atAGlanceFacts': [{'factValue': '2014', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Heat Pump', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '8,120 sqft', 'factLabel': 'lotsize'}, {'factValue': '$93/sqft', 'factLabel': 'Price/sqft'}]}",yes,Killeen,"[{'rating': ['3/10', '6/10', '6/10'], 'data': {'Distance': ['1.36mi', '0.49mi', '1.51mi'], 'Grades': ['9-12', 'PK-5', '6-8']}, 'name': ['C E Ellison High School', 'Reeces Creek Elementary School', 'Charles E Patterson Middle School']}]","1,953 sqft",76542,4 Beds,TX,1.0,,,6208631,"$182,000"
for sale,,single-family home,1755 18th St NW,7 Baths,"{'atAGlanceFacts': [{'factValue': '1915', 'factLabel': 'Year built'}, {'factValue': '2009', 'factLabel': 'Remodeled year'}, {'factValue': 'Radiant', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Off Street', 'factLabel': 'Parking'}, {'factValue': '2,080 sqft', 'factLabel': 'lotsize'}, {'factValue': '$647/sqft', 'factLabel': 'Price/sqft'}]}",yes,Washington,"[{'rating': ['10/10', '3/10'], 'data': {'Distance': ['0.14mi', '0.9mi'], 'Grades': ['PK-5', '6-12']}, 'name': ['Ross Elementary School', 'Cardozo Education Campus']}]","5,796 sqft",20009,8 Beds,DC,3.0,,,DCDC448770,"$3,749,000"
Active,,,5755 SW 123 Ave ,"1,000","{'atAGlanceFacts': [{'factValue': '', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '—', 'factLabel': 'lotsize'}, {'factValue': None, 'factLabel': 'Price/sqft'}]}",,Miami,"[{'rating': ['9', '10', 'NR', '6', '3'], 'data': {'Distance': ['1.0 mi', '13.7 mi', '7.9 mi', '0.9 mi', '1.2 mi'], 'Grades': ['Preschool to 5', 'Preschool to 8', 'K to 9', '6 to 8', '9 to 12']}, 'name': ['Royal Green Elementary School', 'Air Base Elementary School', 'Robert Morgan Voc-Tech Institute', 'Howard D. McMillan Middle School', 'Miami Sunset Senior High School']}]",,33183,Baths,FL,,,,A10787617,"799,000"
for sale,,single-family home,2104 Lou Ellen Ln #B,3 Baths,"{'atAGlanceFacts': [{'factValue': '', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '3828 sqft', 'factLabel': 'lotsize'}, {'factValue': '$194/sqft', 'factLabel': 'Price/sqft'}]}",,Houston,"[{'rating': ['6/10', '9/10', '3/10'], 'data': {'Distance': ['0.79mi', '0.66mi', '0.24mi'], 'Grades': ['6-8', 'PK-5', '9-12']}, 'name': ['Black Middle School', 'Oak Forest Elementary School', 'Waltrip High School']}]","2,575 sqft",77018,3 Beds,TX,,,,33856933,"$499,900"
for sale,,single-family home,9070 Southern Orchard Rd S,3 Baths,"{'atAGlanceFacts': [{'factValue': '1994', 'factLabel': 'Year built'}, {'factValue': '1995', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '9,000 sqft', 'factLabel': 'lotsize'}, {'factValue': '$238/sqft', 'factLabel': 'Price/sqft'}]}",,Davie,"[{'rating': ['8/10', '8/10', '8/10'], 'data': {'Distance': ['4.04mi', '0.12mi', '2.04mi'], 'Grades': ['9-12', 'PK-5', '6-8']}, 'name': ['Western High School', 'Silver Ridge Elementary School', 'Indian Ridge Middle School']}]","2,349 sqft",33328,4 Beds,FL,1.0,,,A10782357,"$559,000"
for sale,,coop,430 Sterling Pl #1A,2 Baths,"{'atAGlanceFacts': [{'factValue': '1910', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Baseboard', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': 'None', 'factLabel': 'Parking'}, {'factValue': '5,249 sqft', 'factLabel': 'lotsize'}, {'factValue': '$888/sqft', 'factLabel': 'Price/sqft'}]}",,Brooklyn,"[{'rating': ['6/10'], 'data': {'Distance': ['0.29mi'], 'Grades': ['PK-5']}, 'name': ['Ps 9 Teunis G Bergen']}]",935 sqft,11238,2 Beds,NY,4.0,,,,"$830,000"
Active,,Multi-Family Home,2620 Alsace Ave,2,"{'atAGlanceFacts': [{'factValue': '1923', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Baseboard', 'factLabel': 'Heating'}, {'factValue': 'Air Conditioning Unit(s), Ceiling Fan(s)', 'factLabel': 'Cooling'}, {'factValue': '0', 'factLabel': 'Parking'}, {'factValue': '4828', 'factLabel': 'lotsize'}, {'factValue': '$688', 'factLabel': 'Price/sqft'}]}",,Los Angeles,"[{'rating': ['5', '2', '1', '6', '5', 'NR', 'NR', 'NR'], 'data': {'Distance': ['0.1 mi', '1.8 mi', '0.8 mi', '0.6 mi', '0.2 mi', '0.8 mi', '0.1 mi', '0.6 mi'], 'Grades': ['K–5', '6–8', '9–12', 'K–5', '5–8', '9–12', 'PK–5', 'K–4']}, 'name': ['Cienega Elementary School', 'Johnnie Cochran, Jr., Middle School', 'Susan Miller Dorsey Senior High School', 'Marvin Elementary School', 'Stella Middle Charter Academy School', 'View Park Continuation School', 'Alpha Pre & Elementary Private School', 'Donna Ro Private School']}]",1736,90016,4,CA,,,,19-518208,"$1,195,000"
For sale,,Single Family,6712 N Glen Ave,Bathrooms: 2,"{'atAGlanceFacts': [{'factValue': '1960', 'factLabel': 'Year built'}, {'factValue': '1988', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '1 space', 'factLabel': 'Parking'}, {'factValue': '8,189 sqft lot', 'factLabel': 'lotsize'}, {'factValue': '$156', 'factLabel': 'Price/sqft'}]}",,Tampa,"[{'rating': ['5/10', '2/10', '4/10'], 'data': {'Distance': ['0 mi', '3 mi', '2.9 mi'], 'Grades': ['PK-5', '6-8', '9-12']}, 'name': ['Egypt Lake Elementary School', 'Memorial Middle School', 'Hillsborough High School']}]","Total interior livable area: 1,677 sqft",33614,4 bd,FL,0.0,T3159863,,,"$262,000"
